senal_regulatoria,tema_estrategico,linea_pmge,tipo_insumo_agenda,relevancia_label,num_documentos,num_fuentes,fuentes,tecnologias,bandas_frecuencia,evidencia,relevancia_score_promedio,actividad_score_promedio,prioridad_score
Actualización de la agenda regulatoria de telecomunicaciones y espectro en Ecuador,Armonización y gestión internacional,Gestión internacional del espectro,Seguimiento,Alta,1,1,Cullen International,"Servicios móviles, Servicios de internet, Redes comunitarias","Bandas de espectro, Frecuencias","Armonización y gestión internacional; tecnologías: Servicios móviles, Servicios de internet, Redes comunitarias; bandas: Bandas de espectro, Frecuencias.",10.0,3.0,13.0
Actualización de la regulación de compartición de espectro para sistemas satelitales LEO en EE. UU.,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"LEO, D2D, Cobertura suplementaria desde el espacio (SCS), Beamforming, Tecnologías de gestión de interferencias, Constelaciones NGSO, Diseño satelital","1610–1626.5 MHz, 2483.5–2500 MHz, 1.5 GHz MSS, 2 GHz MSS, 900 MHz, Banda E, Banda V, banda Ku, banda Ka, Banda W, 14.5–14.8 GHz, 17.3–17.8 GHz, 18.6–18.8 GHz, 51.4–52.4 GHz, 92.0–94.0 GHz, 94.1–95.0 GHz, 95.0–100.0 GHz, 102.0–109.5 GHz, 111.8–114.25 GHz","Conectividad satelital, NTN y D2D; tecnologías: LEO, D2D, Cobertura suplementaria desde el espacio (SCS), Beamforming; bandas: 1610–1626.5 MHz, 2483.5–2500 MHz, 1.5 GHz MSS, 2 GHz MSS.",10.0,3.0,13.0
Actualización del plan nacional de frecuencias de Panamá para IMT y NTN,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"IMT, FWA, NTN, D2D, Redes móviles celulares, Sistemas satelitales, Sistemas terrestres","2.6 GHz, 3.5 GHz, 3600–3800 MHz, 2500–2690 MHz, 3300–3600 MHz","Conectividad satelital, NTN y D2D; tecnologías: IMT, FWA, NTN, D2D; bandas: 2.6 GHz, 3.5 GHz, 3600–3800 MHz, 2500–2690 MHz.",10.0,3.0,13.0
Adjudicación de espectro 3.5 GHz en Paraguay,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Tecnologías inalámbricas, Servicios de internet, Banda ancha móvil, 5G","3.5 GHz, 3500–3550 MHz, 3550–3600 MHz, 3600–3650 MHz, 3650–3700 MHz, 3300–3350 MHz, 3350–3400 MHz, 3400–3450 MHz, 3450–3500 MHz, Bandas bajas y medias","Disponibilidad de espectro para IMT; tecnologías: Tecnologías inalámbricas, Servicios de internet, Banda ancha móvil, 5G; bandas: 3.5 GHz, 3500–3550 MHz, 3550–3600 MHz, 3600–3650 MHz.",10.0,3.0,13.0
Adjudicación de espectro en bandas 700 y 800 MHz en Polonia,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 4G, Redes móviles","700 MHz, 800 MHz","Disponibilidad de espectro para IMT; tecnologías: 5G, 4G, Redes móviles; bandas: 700 MHz, 800 MHz.",10.0,3.0,13.0
Adjudicación de espectro 5G en Venezuela,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Telefonía móvil, Banda ancha","2.6 GHz, 3.5 GHz, 700 MHz, AWS, 900 MHz, 1900 MHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Telefonía móvil, Banda ancha; bandas: 2.6 GHz, 3.5 GHz, 700 MHz, AWS.",10.0,3.0,13.0
Adjudicación de espectro radioeléctrico en Eslovaquia,"6 GHz, Wi-Fi e IMT",Disponibilidad de espectro,Seguimiento,Alta,1,1,Cullen International,Telecomunicaciones móviles,"800 MHz, 900 MHz, 1500 MHz, 2.1 GHz, 2.6 GHz","6 GHz, Wi-Fi e IMT; tecnologías: Telecomunicaciones móviles; bandas: 800 MHz, 900 MHz, 1500 MHz, 2.1 GHz.",10.0,3.0,13.0
Adjudicación de licencias locales de espectro en Eslovenia,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,2,1,Cullen International,"Nuevas tecnologías inalámbricas, 5G, Redes privadas","2.3 GHz, 3.5 GHz, 2320-2330 MHz","Disponibilidad de espectro para IMT; tecnologías: Nuevas tecnologías inalámbricas, 5G, Redes privadas; bandas: 2.3 GHz, 3.5 GHz., Disponibilidad de espectro para IMT; tecnologías: Redes privadas; bandas: 2.3 GHz, 3.5 GHz, 2320-2330 MHz.",10.0,3.0,13.0
Análisis de tasas recurrentes por el uso de espectro móvil en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,Comunicaciones móviles,"450-470 MHz, 450-870 MHz, 694-790 MHz, 700 MHz, 790-960 MHz, 800 MHz, 870 MHz-2.5 GHz, 900 MHz, 1427-1517 MHz, 1500 MHz, 1710-2200 MHz, 1800 MHz, 1900-2300 MHz, 2.1 GHz, 2.3-2.69 GHz, 2.5-3.8 GHz, 2.6 GHz, 2.69-3.4 GHz, 6 GHz, 3.4-3.8 GHz, 3.5 GHz, 3.6-3.8 GHz, 3.8-24 GHz, 24-86 GHz, 24.5-26.5 GHz, 26 GHz, 42 GHz, Below 1 GHz, Between 1 GHz and 2.2 GHz, Between 2.2 GHz and 24 GHz, 0-87.5 MHz, 108-174 MHz, 235-380 MHz, 87.5-108 MHz, 174-235 MHz, 380-470 MHz, 470-960 MHz, 960-4,200 MHz, 4,200-12,750 MHz, 12,750-43,500 MHz, 43,500 MHz-92,000 MHz, Above 92 GHz","Disponibilidad de espectro para IMT; tecnologías: Comunicaciones móviles; bandas: 450-470 MHz, 450-870 MHz, 694-790 MHz, 700 MHz.",10.0,3.0,13.0
Adquisición de Globalstar por Amazon para fortalecer servicios satelitales y D2D,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"LEO, D2D, Mobile Satellite Services (MSS), NTN, Internet Protocol (IP)","Satellite L-band (1–2 GHz), Satellite S-band (2–4 GHz), Terrestrial mid-band (2.4 GHz), 2483.5–2495 MHz (Band 53/n53)","Conectividad satelital, NTN y D2D; tecnologías: LEO, D2D, Mobile Satellite Services (MSS), NTN; bandas: Satellite L-band (1–2 GHz), Satellite S-band (2–4 GHz), Terrestrial mid-band (2.4 GHz), 2483.5–2495 MHz (Band 53/n53).",10.0,3.0,13.0
