activity_id,policy_name,instrument_name,policy_axis,activity_name,activity_description,responsible_area,execution_period,keywords
ACT-001,Estrategia Nacional Digital 2023 - 2026,Estrategia Nacional Digital 2023 - 2026,Promover la asignación y uso eficiente del espectro radioeléctrico para maximizar el bienestar social,"Asignar el espectro y promover su uso eficiente de forma oportuna, especialmente para la tecnología 5G, a través de esquemas de selección objetiva y condiciones que maximicen el bienestar social y la compartición de este recurso.",Promover la asignación y uso eficiente del espectro radioeléctrico para maximizar el bienestar social,,2023 - 2026,"IMT 5G bandas, Compartición flexible, Datos IA gobernanza"
ACT-002,Estrategia Nacional Digital 2023 - 2026,Estrategia Nacional Digital 2023 - 2026,Promover la asignación y uso eficiente del espectro radioeléctrico para maximizar el bienestar social,"Establecer condiciones reglamentarias diferenciales a nivel local, regional y/o para casos de uso en la asignación de los permisos de uso del espectro radioeléctrico”",Promover la asignación y uso eficiente del espectro radioeléctrico para maximizar el bienestar social,,2023 - 2026,Datos IA gobernanza
ACT-003,Plan Integral de Expansión de Conectividad Digital,Plan Integral de Expansión de Conectividad Digital,"Definición de un régimen normativo diferencial con enfoque estructural para comunidades organizadas de conectividad y para proveedores del servicio de Internet que tengan menos de 30.000 usuarios, en zonas rurales, apartadas, de difícil acceso.","Posibilidad de asignación de espectro a través de procesos de selección objetiva simplificados: Identificar por parte de la ANE y el MinTIC, bandas susceptibles de ser asignadas a PRST y revisar esquemas de asignación simplificados mediante procesos de selección objetiva. -El Ministerio TIC deberá reglamentar los procedimientos, incluyendo reglas de desempate en caso de que se presente.","Definición de un régimen normativo diferencial con enfoque estructural para comunidades organizadas de conectividad y para proveedores del servicio de Internet que tengan menos de 30.000 usuarios, en zonas rurales, apartadas, de difícil acceso.",,2024 - 2026,Datos IA gobernanza
ACT-004,Plan Integral de Expansión de Conectividad Digital,Plan Integral de Expansión de Conectividad Digital,promover e implementar medidas conducentes a la gestión eficiente del espectro radioeléctrico para promover soluciones de conectividad.,"Implementación de un observatorio de valoración del espectro radioeléctrico: Hacer un seguimiento más detallado al comportamiento de los precios de espectro a nivel internacional, que sea insumo para la estimación de los valores asociados a los permisos de uso de espectro, con un enfoque de maximización del bienestar social",promover e implementar medidas conducentes a la gestión eficiente del espectro radioeléctrico para promover soluciones de conectividad.,,2024-2033,"Datos IA gobernanza, Internacional"
ACT-005,Plan Integral de Expansión de Conectividad Digital,Plan Integral de Expansión de Conectividad Digital,promover e implementar medidas conducentes a la gestión eficiente del espectro radioeléctrico para promover soluciones de conectividad.,"Evaluar la posibilidad de asignación de espectro radioeléctrico para redes comunitarias e ISP: Identificar bandas de espectro susceptibles de ser asignadas a redes comunitarias e ISP
Evaluar la posibilidad de emitir la normatividad necesaria para que estos agentes puedan acceder al recurso escaso, bajo esquemas simplificados",promover e implementar medidas conducentes a la gestión eficiente del espectro radioeléctrico para promover soluciones de conectividad.,,2024-2033,Datos IA gobernanza
ACT-006,Plan Integral de Expansión de Conectividad Digital,Plan Integral de Expansión de Conectividad Digital,promover e implementar medidas conducentes a la gestión eficiente del espectro radioeléctrico para promover soluciones de conectividad.,"Analizar escenarios de promoción de soluciones eficientes de conectividad satelital para reducir la brecha digital en zonas apartadas, tales como mecanismos de agregación de demanda de capacidad satelital: Definir mecanismos y soluciones de conectividad satelital y actualizar, de ser necesario, el régimen satelital para promover una mayor oferta de diferentes soluciones satelitales de conectividad a través de diversas modalidades de prestación del servicio",promover e implementar medidas conducentes a la gestión eficiente del espectro radioeléctrico para promover soluciones de conectividad.,,2024-2033,"Satelital NTN D2D, Datos IA gobernanza"
ACT-007,Plan Integral de Expansión de Conectividad Digital,Plan Integral de Expansión de Conectividad Digital,promover e implementar medidas conducentes a la gestión eficiente del espectro radioeléctrico para promover soluciones de conectividad.,"Adoptar las medidas legales necesarias para promover la implementación de mecanismos flexibles e innovadores de acceso al espectro radioeléctrico (mercados secundarios de espectro): Implementar en forma integral los mercados secundarios de espectro radioeléctrico, en línea con las mejores prácticas internacionales.",promover e implementar medidas conducentes a la gestión eficiente del espectro radioeléctrico para promover soluciones de conectividad.,,2024-2033,"Compartición flexible, Datos IA gobernanza, Internacional"
ACT-008,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,Fortalecer las condiciones de conectividad a Internet a nivel nacional y regional para impulsar el ecosistema de IA en el país,"MinTIC con apoyo de la ANE y CRC, definirá instrumentos normativos o desarrollará iniciativas que permitan establecer: 
(i) condiciones técnicas de uso de frecuencias; 
(ii) contraprestaciones económicas por uso del espectro radioeléctrico; 
(iii) procedimientos de selección objetiva para otorgar permisos de uso espectro radioeléctrico; y 
(iv) condiciones regulatorias diferenciales de forma que se impulse el desarrollo de aplicaciones de IA para internet de las cosas (IoT) y redes privadas, entre otros.",Fortalecer las condiciones de conectividad a Internet a nivel nacional y regional para impulsar el ecosistema de IA en el país,,2025 - 2027,"Redes privadas, Datos IA gobernanza"
ACT-009,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,Fortalecer las condiciones de conectividad a Internet a nivel nacional y regional para impulsar el ecosistema de IA en el país,"MINTIC con apoyo de la ANE y CRC, definirá instrumentos normativos o desarrollarán iniciativas que permitan establecer condiciones técnicas para el uso de bandas de frecuencias en la prestación de servicio de banda ancha inalámbrica. Para esto se considerará, entre otros tipos de uso, el acceso fijo inalámbrico, redes punto multipunto y nuevas tecnologías satelitales, los cuales habilitan las condiciones de acceso a internet para el uso y desarrollo de nuevas tecnologías, dentro de las cuales se encuentran los sistemas de IA en los municipios, áreas no municipalizadas y zonas rurales o apartadas.",Fortalecer las condiciones de conectividad a Internet a nivel nacional y regional para impulsar el ecosistema de IA en el país,,2025 - 2027,"Satelital NTN D2D, Datos IA gobernanza"
ACT-010,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,Fortalecer las condiciones de conectividad a Internet a nivel nacional y regional para impulsar el ecosistema de IA en el país,"La Agencia Nacional del Espectro, y el Ministerio de Tecnologías de la Información y las Comunicaciones elaborarán un estudio para identificar necesidades de espectro para aplicaciones de IA que requieran conectividad inalámbrica, considerando tanto las redes de acceso y redes de transporte de datos. Así mismo, y teniendo en cuenta la optimización de la gestión del espectro, se propondrán los procedimientos de asignación de espectro oportunos y ágiles, y metodología de las contraprestaciones por su uso",Fortalecer las condiciones de conectividad a Internet a nivel nacional y regional para impulsar el ecosistema de IA en el país,,2025 - 2026,Datos IA gobernanza
