project_id,source_document,pmge_line,project_name,project_description,expected_output,timeframe,keywords
PMGE-001,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Hoja de Ruta para el Espectro IMT en Colombia: proyecciones de demanda y planificación prospectiva,"Alcance y justificación: El crecimiento sostenido del tráfico de datos y la diversificación de usos soportados sobre los servicios de banda ancha podrían traducirse en mayores requerimientos de espectro identificado para las Telecomunicaciones Móviles Internacionales (IMT), lo que plantea retos importantes para su planificación y gestión eficiente en el mediano y largo plazo. La Política de gestión de Espectro 2026–2029 señala la importancia de fortalecer, en cabeza de la ANE, los mecanismos de identificación y proyección de la demanda de espectro IMT, considerando la evolución del consumo de datos, las tendencias tecnológicas y las condiciones del mercado nacional, con el fin de evitar enfoques reactivos que generen incertidumbre regulatoria y retrasen las decisiones de inversión. En este contexto, resulta fundamental contar con herramientas técnicas prospectivas que permitan anticipar ",,2026–2029,"IMT 5G bandas, Datos IA gobernanza, Internacional"
PMGE-002,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Evaluación y Propuesta de ajuste de los Topes de Espectro para servicios IMT,"Alcance y justificación: En la gestión del espectro radioeléctrico, la fijación de topes de espectro constituye un instrumento de política pública orientado a establecer la cantidad máxima de espectro a la que puede acceder un operador de servicios móviles, con el fin de promover condiciones de competencia, prevenir el acaparamiento de este recurso y favorecer su asignación y uso eficiente como bien limitado y estratégico. En el marco de sus funciones, la ANE asesorará al MinTIC en la definición y revisión de los topes de espectro aplicables a los Proveedores de Redes y Servicios de Telecomunicaciones (PRST) que prestan servicios móviles en las bandas identificadas para las Telecomunicaciones Móviles Internacionales (IMT). En este contexto, el proyecto contempla la elaboración de estudios técnicos y económicos que permitan evaluar la pertinencia de los topes vigentes y, de ser necesario,",,2026,"IMT 5G bandas, Datos IA gobernanza, Internacional"
PMGE-003,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Propuesta de Mecanismo de Asignación Estándar de Espectro Remanente,"Alcance y justificación: La asignación del espectro radioeléctrico constituye un elemento central de la política púbica en el sector de telecomunicaciones, en la medida en que incide directamente en el desempeño de las redes, la provisión de servicios y el bienestar social. Retrasos o ineficiencias en los procesos de asignación pueden generar costos de oportunidad significativos, al limitar la disponibilidad de nuevos servicios, retrasar la adopción tecnológica y afectar la calidad y cobertura de las comunicaciones, con impactos transversales en sectores que dependen crecientemente de la conectividad, como puede ser, educación, salud y seguridad, solo por mencionar algunos. Página 43 de 70 Agencia Nacional del Espectro Dirección: Calle 93 # 17-45 Piso 4. Bogotá D.C. Teléfono conmutador: (+57) 60 (1) 6000030 Correo Institucional: contactenos@ane.gov.co En este contexto, como resultado de ",,2026,"IMT 5G bandas, Datos IA gobernanza, Internacional"
PMGE-004,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Propuesta de Mecanismos de Acceso y Valoración Económica del Espectro Radioeléctrico para Redes Privadas,"Alcance y justificación: En el marco de sus funciones de planeación y gestión del espectro radioeléctrico, la ANE ha adelantado estudios técnicos orientados a definir las condiciones de uso del espectro identificado para IMT por parte de sectores productivos4, con el fin de habilitar la implementación de redes privadas de banda ancha en Colombia. Con el propósito de avanzar hacia un esquema integral que permita la asignación de espectro para redes privadas, este proyecto contempla el desarrollo de una propuesta que incluya: i. La definición de las condiciones técnicas, operativas y regulatorias que soporten el otorgamiento de espectro para este tipo de redes. ii. La formulación de lineamientos para la estructuración del proceso de selección objetiva a cargo del MinTIC. iii. La definición de parámetros para la valoración económica del espectro asociados a estos permisos. 4 Para más inform",,2027,"IMT 5G bandas, Redes privadas, Datos IA gobernanza"
PMGE-005,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Estudio de planificación del espectro en la banda de 440 a 470 MHz (450 MHz),"Alcance y justificación: La banda de frecuencias comprendida entre 440 y 470 MHz, comúnmente referida como la banda de 450 MHz, es utilizada principalmente por sistemas de Radio Móvil Terrestre (LMR) para la provisión de servicios de comunicaciones de voz, y se encuentra canalizada en distintas sub-bandas de conformidad con lo establecido en el Cuadro Nacional de Atribución de Bandas de Frecuencias (CNABF). El análisis de la ocupación del espectro en esta banda evidencia una utilización heterogénea a nivel territorial, con municipios que presentan altos niveles de ocupación, particularmente en zonas urbanas y ciudades principales, lo que puede limitar la asignación de nuevos canales y el acceso de otros interesados. Este contexto plantea la necesidad de evaluar las condiciones actuales de uso del espectro en la banda de 440 a 470 MHz, así como las restricciones y oportunidades existentes",,2027,Datos IA gobernanza
PMGE-006,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis del Esquema de Contraprestación Económica aplicable a enlaces fijos Punto a Punto,"Página 45 de 70 Agencia Nacional del Espectro Dirección: Calle 93 # 17-45 Piso 4. Bogotá D.C. Teléfono conmutador: (+57) 60 (1) 6000030 Correo Institucional: contactenos@ane.gov.co Alcance y justificación: Los enlaces fijos punto a punto constituyen un componente esencial de las redes de transporte de telecomunicaciones, al soportar el despliegue y operación de redes móviles y fijas, especialmente en contextos donde el despliegue de infraestructura alámbrica no resulta técnica o económicamente viable. En este sentido, estos enlaces representan una proporción relevante dentro del universo de asignaciones de espectro radioeléctrico y cumplen un rol estratégico en la provisión de servicios de conectividad a nivel nacional. Considerando la importancia de los enlaces fijos punto a punto y las observaciones recibidas por parte de los interesados respecto de la fórmula y los parámetros de valor",,2019,"Datos IA gobernanza, Internacional"
PMGE-007,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis y revisión de la contraprestación económica aplicable a sistemas Punto Multipunto,"Alcance y justificación: Los sistemas de cubrimiento y/o enlaces punto multipunto operan dentro de un área de servicio o zona geográfica definida, en la cual el titular de un permiso de uso del espectro radioeléctrico puede utilizar una o varias frecuencias asignadas, mediante la operación de equipos destinados a la provisión de servicios de telecomunicaciones. Este tipo de sistemas representa una proporción relevante dentro del universo de asignaciones de espectro radioeléctrico y constituye una herramienta indispensable para el desarrollo de actividades de múltiples organizaciones públicas y privadas, entre ellas aquellas asociadas a la seguridad pública y privada, la logística, el transporte y la operación y mantenimiento de infraestructuras. El uso de estos sistemas contribuye, a su vez, al desarrollo socioeconómico de las regiones y al cumplimiento de funciones esenciales relacionad",,2010,Datos IA gobernanza
PMGE-008,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Gestión del espectro para servicios esenciales: Caracterización y Diagnóstico de uso,"Alcance y justificación: El espectro radioeléctrico es un recurso limitado y estratégico cuya gestión eficiente resulta fundamental para maximizar el beneficio social y apoyar el desarrollo tecnológico del país. En este contexto, resulta indispensable contar con información actualizada y confiable sobre el uso efectivo del espectro asignado, que permita sustentar los procesos de análisis y toma de decisiones orientados a su utilización eficiente. Adicionalmente, el espectro radioeléctrico desempeña un papel crítico en la prestación de servicios esenciales asociados a la defensa nacional, la atención de emergencias y los servicios públicos domiciliarios, los cuales dependen de sistemas inalámbricos que habilitan la movilidad, la flexibilidad operativa y el acceso oportuno a la información, facilitando la conexión en tiempo real entre dispositivos y personas. El proyecto contempla la carac",,2027,"Datos IA gobernanza, Internacional"
PMGE-009,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Observatorio de Mecanismos Flexibles de Acceso y Uso del Espectro Radioeléctrico,"Alcance y justificación: La evolución de las tecnologías de radiocomunicaciones y la creciente demanda por acceso al espectro para múltiples usos han impulsado, a nivel internacional, el desarrollo e implementación de mecanismos flexibles de acceso y uso del espectro, tales como esquemas de compartición, mercados secundarios y modalidades de asignación no exclusivas. En este contexto, resulta necesario contar con un mecanismo técnico que permita monitorear de manera sistemática y continua los avances, experiencias y resultados asociados a la aplicación de este tipo de mecanismos en diferentes jurisdicciones. Con este propósito, el proyecto contempla la formulación de la estructura, la agenda de trabajo y el funcionamiento del Observatorio de Mecanismos Flexibles de Acceso y Uso del Espectro, como un instrumento técnico orientado a rastrear, analizar y documentar de forma periódica las me",,2026–2029,"IMT 5G bandas, Compartición flexible, Datos IA gobernanza, Vigilancia control, Internacional"
PMGE-010,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Espectro para promover la conectividad satelital,Lineamientos Estratégicos para habilitar la conectividad satelital Direct-to-Device (D2D) en el país,"Alcance y justificación: Las redes no terrestres (Non-Terrestrial Networks – NTN), introducidas en el Release 15 del consorcio 3GPP y fortalecidas a partir del Release 17 en adelante, permiten complementar la cobertura de las redes terrestres mediante enlaces satelitales, manteniendo la interoperabilidad con estándares móviles internacionales. En este contexto, el despliegue de grandes constelaciones satelitales en órbitas LEO y VLEO ha impulsado el desarrollo de soluciones de conectividad Direct-to-Device (D2D) que permiten enlazar directamente un terminal móvil (smartphone) a la constelación satelital, para lo cual se requiere un análisis específico sobre el acceso, uso y la gestión del espectro radioeléctrico. Así mismo, a nivel mundial los reguladores reconocen el rol fundamental que tendrán los satélites en la extensión de la conectividad a zonas desatendidas y por ello se adelantan",,2027,"IMT 5G bandas, Satelital NTN D2D, Datos IA gobernanza, Vigilancia control, Internacional"
