document_id,file_name,source_folder,file_type,tema_estrategico,linea_pmge,senal_regulatoria,tecnologias,bandas_frecuencia,paises_regiones,organizaciones,actores,tipo_evento_regulatorio,tipo_insumo_agenda,evidencia_breve,relevancia_score,relevancia_label,actividad_internacional_score,prioridad_score,justificacion_analitica
073db6c3222a2bda241a,Documento-Tendencias-2025.pdf,CRC,pdf,"Conectividad satelital, NTN y D2D",Conectividad satelital,Monitoreo de tendencias tecnológicas y de mercado en telecomunicaciones,"[""5G"", ""Virtualización de funciones de red (NFV)"", ""Redes definidas por software (SDN)"", ""Edge Computing"", ""Network Slicing"", ""Acceso fijo inalámbrico (FWA)"", ""NTN"", ""Taara Kightbridge"", ""FTTx"", ""Fibra óptica con núcleo hueco"", ""Compartición de infraestructura"", ""Redes neutras de fibra óptica"", ""Redes privadas""]",[],"[""Reino Unido"", ""Francia"", ""Turquía"", ""Colombia""]","[""CRC (Comisión de Regulación de Comunicaciones)""]","[""Reguladores"", ""Operadores de telecomunicaciones"", ""Industria satelital"", ""Fabricantes de tecnología"", ""Grupos de valor del sector""]","[""Compartición de espectro""]",Nota técnica,"Conectividad satelital, NTN y D2D; tecnologías: 5G, Virtualización de funciones de red (NFV), Redes definidas por software (SDN), Edge Computing.",8,Alta,2,10,"Este reporte de monitoreo de tendencias es altamente relevante para la Agenda Regulatoria ANE 2027-2028, ya que su propósito explícito es informar y orientar la formulación de agendas regulatorias. Contiene un análisis detallado de tecnologías clave como 5G, NTN, redes privadas y la eficiencia del espectro, así como modelos de negocio y marcos normativos, que son fundamentales para la planificación estratégica y regulatoria de la ANE en los próximos años."
ca58181fa74f04022d84,Monitoreo-Tendencias-2024.pdf,CRC,pdf,"Conectividad satelital, NTN y D2D",Conectividad satelital,Monitoreo de tendencias tecnológicas y regulatorias,"[""5G"", ""6G"", ""Open RAN"", ""NTN"", ""Hyperscaler Cloud"", ""IA"", ""Drones Mensajeros"", ""Realidad Aumentada"", ""Brain-Computer Interfaces"", ""GPS"", ""GSM""]",[],"[""Estados Unidos"", ""Colombia"", ""Canadá"", ""Australia"", ""España"", ""Unión Europea""]","[""CRC"", ""ACMA"", ""Aerocivil"", ""AESA"", ""AFTRA"", ""AMPTP"", ""ANIA"", ""BID"", ""CEPAL"", ""CRTC"", ""DNP"", ""DoD"", ""EASA"", ""ENAC"", ""ENAV"", ""FAA"", ""FCC"", ""FEM"", ""FTC"", ""IBM"", ""ICAO"", ""IEEE""]","[""Reguladores"", ""Operadores móviles"", ""Fabricantes"", ""Organismos internacionales"", ""Industria satelital"", ""Desarrolladores de IA"", ""Productores de cine y televisión"", ""Artistas de radio y televisión"", ""Agencias de seguridad aérea""]","[""Otro""]",Nota técnica,"Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, Open RAN, NTN.",8,Alta,2,10,"Este documento es altamente relevante para la Agenda Regulatoria ANE 2027-2028 ya que proporciona un análisis exhaustivo de las tendencias tecnológicas emergentes como 5G, 6G, NTN, Open RAN e Inteligencia Artificial. Identifica áreas clave para la regulación futura, incluyendo la gestión del espectro para nuevas tecnologías, la gobernanza de la IA y el impacto de las redes no terrestres, lo cual es fundamental para la planificación estratégica y la formulación de políticas de la ANE."
d82d141ed4c575b78164,B5TELN20250004_LATAM_Telecoms_Update (1).pdf,Cullen International,pdf,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Consulta sobre licitación de espectro 5G en Chile,"[""5G"", ""Redes privadas"", ""Servicios móviles avanzados""]","[""3.5 GHz"", ""3450-3500 MHz"", ""3650-3800 MHz""]","[""Chile"", ""LATAM""]","[""Subtel"", ""Cullen International""]","[""Reguladores"", ""Operadores móviles"", ""Industria"", ""Stakeholders""]","[""Consulta pública""]",Ajuste a iniciativa existente,"Disponibilidad de espectro para IMT; tecnologías: 5G, Redes privadas, Servicios móviles avanzados; bandas: 3.5 GHz, 3450-3500 MHz, 3650-3800 MHz.",10,Alta,3,13,"Este documento es altamente relevante para la Agenda Regulatoria ANE 2027-2028 porque aborda directamente la gestión del espectro radioeléctrico para 5G, la asignación de bandas de frecuencia clave (3.5 GHz), la regulación de redes privadas y la seguridad de red. Las preguntas planteadas por Subtel sobre la suficiencia del espectro, las obligaciones de despliegue y los topes de espectro ofrecen una perspectiva valiosa sobre los desafíos y consideraciones regulatorias actuales en la región, que pueden informar decisiones similares para Colombia."
3b88077f3e9d5f9135e6,B5TELN20250004_LATAM_Telecoms_Update.pdf,Cullen International,pdf,"Conectividad satelital, NTN y D2D",Conectividad satelital,Regulación de comunicaciones satelitales Direct-to-Device (D2D) en bandas IMT en Chile,"[""D2D"", ""IMT (International Mobile Telecommunications)"", ""Redes satelitales"", ""Redes móviles terrestres"", ""Roaming móvil""]","[""Bandas IMT""]","[""Chile"", ""LATAM"", ""Americas""]","[""Subtel"", ""Cullen International""]","[""Reguladores"", ""Operadores de redes móviles"", ""Operadores satelitales""]","[""Tasas / fees""]",Nota técnica,"Conectividad satelital, NTN y D2D; tecnologías: D2D, IMT (International Mobile Telecommunications), Redes satelitales, Redes móviles terrestres; bandas: Bandas IMT.",10,Alta,3,13,"El documento es altamente relevante para la Agenda Regulatoria ANE 2027-2028 al presentar un caso práctico de regulación de comunicaciones satelitales Direct-to-Device (D2D) en bandas IMT. Muestra cómo un regulador aborda la integración de nuevas tecnologías, el uso secundario del espectro, la gestión de interferencias y la expansión de la conectividad, aspectos cruciales para la planificación del espectro y la evolución regulatoria en Colombia."
a5f9423006ed060be428,B5TELN20260001_LATAM_Telecoms_Update (1).pdf,Cullen International,pdf,"6 GHz, Wi-Fi e IMT",Disponibilidad de espectro,Planificación y subastas de espectro radioeléctrico en Brasil,[],"[""6 GHz"", ""450 MHz""]","[""Brasil"", ""LATAM""]","[""Anatel"", ""Cullen International""]","[""Reguladores"", ""Consultoras""]","[""Subasta""]",Seguimiento,"6 GHz, Wi-Fi e IMT; bandas: 6 GHz, 450 MHz.",9,Alta,3,12,"El documento detalla la planificación de espectro y las subastas de bandas clave (6 GHz, 450 MHz) por parte de Anatel en Brasil para el periodo 2026-2036. Esto ofrece un benchmark regional y tendencias regulatorias sobre la gestión del espectro, la asignación de bandas y la revocación de licencias por subutilización, información crucial para la formulación de la Agenda Regulatoria ANE 2027-2028 en Colombia."
a5e3d0e131e8114915e2,B5TELN20260001_LATAM_Telecoms_Update (2).pdf,Cullen International,pdf,"Conectividad satelital, NTN y D2D",Conectividad satelital,Expansión de conectividad satelital directa a dispositivo en Chile,"[""D2D"", ""NTN"", ""VoLTE"", ""Redes móviles terrestres""]",[],"[""Chile"", ""Perú"", ""LATAM""]","[""Entel"", ""Starlink"", ""Subtel""]","[""Operadores móviles"", ""Industria satelital"", ""Reguladores""]","[""Otro""]",Nota técnica,"Conectividad satelital, NTN y D2D; tecnologías: D2D, NTN, VoLTE, Redes móviles terrestres.",9,Alta,3,12,"Este documento es altamente relevante para la Agenda Regulatoria ANE 2027-2028 porque aborda la gestión del espectro para servicios satelitales D2D, la expansión de la conectividad en zonas sin cobertura terrestre y la interacción entre operadores móviles y proveedores satelitales. Estos temas son cruciales para la formulación de políticas sobre nuevas tecnologías inalámbricas, uso eficiente del espectro y la regulación de redes no terrestres (NTN), impactando directamente la conectividad y la inclusión digital."
69f8aa318b51dbcaa95f,B5TELN20260001_LATAM_Telecoms_Update (3).pdf,Cullen International,pdf,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Consulta sobre la banda de 600 MHz para IMT en Chile,"[""4G"", ""5G"", ""IMT"", ""Banda ancha móvil""]","[""600 MHz""]","[""Chile"", ""LATAM""]","[""Subtel"", ""Cullen International""]","[""Reguladores"", ""Operadores móviles"", ""Stakeholders""]","[""Consulta pública"", ""Asignación de espectro""]",Ajuste a iniciativa existente,"Disponibilidad de espectro para IMT; tecnologías: 4G, 5G, IMT, Banda ancha móvil; bandas: 600 MHz.",10,Alta,3,13,"El documento es altamente relevante para la Agenda Regulatoria ANE 2027-2028 porque aborda directamente la gestión del espectro radioeléctrico, la asignación de bandas de frecuencia (600 MHz), y el soporte para tecnologías clave como 4G y 5G. La consulta pública de Subtel sobre la reasignación de espectro y la coexistencia de servicios ofrece un precedente regulatorio y técnico valioso para la planificación del espectro en Colombia, permitiendo a la ANE anticipar tendencias y desafíos en la región."
6df6c5ef41d592a3aa7e,B5TELN20260001_LATAM_Telecoms_Update (4).pdf,Cullen International,pdf,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Aprobación del programa de uso del espectro radioeléctrico en México para 2026,"[""5G"", ""Radio AM"", ""Radio FM"", ""Televisión Digital Terrestre (DTT)"", ""Telecomunicaciones inalámbricas fijas"", ""Telecomunicaciones inalámbricas móviles""]","[""600 MHz"", ""Frecuencias de radio AM"", ""Frecuencias de radio FM"", ""Canales de televisión digital terrestre""]","[""México""]","[""Telecommunications Regulatory Commission (CRT)"", ""Cullen International""]","[""Reguladores"", ""Operadores móviles"", ""Industria de telecomunicaciones""]","[""Otro""]",Ajuste a iniciativa existente,"Disponibilidad de espectro para IMT; tecnologías: 5G, Radio AM, Radio FM, Televisión Digital Terrestre (DTT); bandas: 600 MHz, Frecuencias de radio AM, Frecuencias de radio FM, Canales de televisión digital terrestre.",10,Alta,3,13,"El documento es altamente relevante porque detalla un programa anual de uso del espectro radioeléctrico en México, un país de la región LATAM. Aborda la gestión del espectro, la asignación de bandas para diversas tecnologías (incluyendo 5G en 600 MHz), y la acción de un regulador de telecomunicaciones. Esta información es crucial para entender las tendencias regulatorias y de asignación de espectro en la región, lo cual es directamente aplicable a la formulación de la Agenda Regulatoria ANE 2027-2028 en temas de espectro, 5G y nuevas tecnologías."
f2194d018717c773e718,B5TELN20260001_LATAM_Telecoms_Update (5).pdf,Cullen International,pdf,Otros temas de seguimiento,Necesidades transversales,Regulación de alertas de emergencia móvil en México,"[""Alertas de emergencia móvil"", ""3GPP"", ""Teléfonos móviles""]",[],"[""México"", ""LATAM""]","[""Telecommunications Regulatory Commission (CRT)"", ""IFT"", ""Cullen International""]","[""Reguladores"", ""Fabricantes de dispositivos"", ""Operadores móviles"", ""Coordinador Nacional de Protección Civil""]","[""Consulta pública""]",No prioritario,"Otros temas de seguimiento; tecnologías: Alertas de emergencia móvil, 3GPP, Teléfonos móviles.",5,Media,3,8,"El documento aborda un cambio regulatorio muy específico en México sobre la nomenclatura de las alertas de emergencia móvil. Aunque involucra a un regulador de telecomunicaciones y dispositivos móviles, no trata temas estratégicos de gestión del espectro, nuevas tecnologías inalámbricas (5G, 6G, IoT), conectividad o tendencias tecnológicas que sean directamente aplicables a la formulación de la Agenda Regulatoria ANE 2027-2028."
58e1bc2c3b45e3fabd73,B5TELN20260001_LATAM_Telecoms_Update (6).pdf,Cullen International,pdf,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Plan de Subasta de Espectro en México para Banda Ancha Móvil y 5G,"[""5G"", ""Banda Ancha Móvil"", ""Redes inalámbricas""]","[""600 MHz"", ""800 MHz"", ""1.9 GHz PCS"", ""2.5 GHz"", ""AWS"", ""Band L""]","[""México""]","[""CRT"", ""Cullen International""]","[""Reguladores"", ""Operadores móviles"", ""Industria"", ""Sociedad civil"", ""Operadores regionales y locales""]","[""Subasta""]",Ajuste a iniciativa existente,"Disponibilidad de espectro para IMT; tecnologías: 5G, Banda Ancha Móvil, Redes inalámbricas; bandas: 600 MHz, 800 MHz, 1.9 GHz PCS, 2.5 GHz.",10,Alta,3,13,"Este documento es altamente relevante para la Agenda Regulatoria ANE 2027-2028 porque presenta un caso concreto de planificación y ejecución de una subasta de espectro para 5G y banda ancha móvil en la región LATAM (México). Ofrece información sobre bandas de frecuencia prioritarias, objetivos regulatorios (brecha digital, competencia), mecanismos para reducir barreras de entrada y la importancia de la participación de actores. Estos elementos son cruciales para informar decisiones sobre la gestión del espectro, la promoción de nuevas tecnologías y la formulación de políticas regulatorias futuras en Colombia."
