banda_frecuencia,count
3.5 GHz,84
700 MHz,77
6 GHz,64
26 GHz,52
900 MHz,51
2.3 GHz,48
2.6 GHz,47
800 MHz,40
1800 MHz,39
600 MHz,38
2.1 GHz,36
UHF,21
mmWave,17
850 MHz,15
2.5 GHz,14
1500 MHz,14
28 GHz,14
450 MHz,13
1900 MHz,13
banda Ku,11
AWS,10
banda Ka,10
3.4–3.8 GHz,9
3.8–4.2 GHz,9
3.4-3.8 GHz,9
40 GHz,9
3.6-3.8 GHz,8
2500–2690 MHz,8
1427–1518 MHz,7
2 GHz,7
42 GHz,7
Sub-THz,7
VHF,6
614–698 MHz,6
3.8 GHz,6
Banda E,6
Banda V,6
Bandas bajas,6
Bandas medias,6
470–694 MHz,5
5 GHz,5
24.25–27.5 GHz,5
4.2–4.4 GHz,5
2.4 GHz,5
5.9 GHz,5
37 GHz,5
450-470 MHz,5
3.3–3.4 GHz,5
Banda Q,5
7 GHz,5
60 GHz,4
C-band,4
E-band,4
3.8-4.2 GHz,4
6425–7125 MHz,4
2.3-2.4 GHz,4
1.9 GHz,4
2500-2690 MHz,4
470–608 MHz,4
410 MHz,4
3.7–3.8 GHz,4
1755–1780 MHz,4
Bandas altas,4
410-430 MHz,4
40.5-43.5 GHz,4
4400–4800 MHz,4
7125–8400 MHz,4
14.8–15.35 GHz,4
Banda L MSS,4
1670-1675 MHz,4
2300-2400 MHz,4
6425-7125 MHz,4
5925-7125 MHz,4
5945–6425 MHz,3
40.5–43.5 GHz,3
66–71 GHz,3
47.2–48.2 GHz,3
3.7-3.8 GHz,3
AWS band,3
2 GHz MSS,3
>24 GHz,3
L-band,3
W-band,3
902–928 MHz,3
470-694 MHz,3
1427-1517 MHz,3
Below 1 GHz,3
1.5 GHz,3
1.8 GHz,3
2600 MHz,3
AWS-3,3
3400–3600 MHz,3
3.4–3.7 GHz,3
3.3–3.8 GHz,3
2100 MHz,3
608–614 MHz,3
3700–4200 MHz,3
AWS-3 band,3
3.6–3.7 GHz,3
24 GHz band,3
3.7–4.2 GHz,3
Banda S,3
Bandas bajo 1 GHz,3
7/8 GHz,3
2300–2400 MHz,3
7125–7250 MHz,3
2010–2025 MHz,3
Sub-700,3
3300-3600 MHz,3
Bandas bajo estudio CMR-27,3
2.3–2.4 GHz,2
24.25–26.5 GHz,2
57–66 GHz,2
25.1–27.5 GHz,2
24.25–25.1 GHz,2
24.5–26.5 GHz,2
1427–1517 MHz,2
410–430 MHz,2
450–470 MHz,2
452.5–457.5 MHz,2
462.5–467.5 MHz,2
451–456 MHz,2
461–466 MHz,2
450–455 MHz,2
460–465 MHz,2
Por debajo de 1 GHz,2
4.4–5.0 GHz,2
47 GHz,2
HF,2
S-band,2
X-band,2
K-band,2
V-band,2
G-band,2
T-Band,2
470–790 MHz,2
10 GHz,2
70 GHz,2
80 GHz,2
100 kHz a 300 GHz,2
400 MHz a 2 GHz,2
1427-1518 MHz,2
1452-1492 MHz,2
10.5 GHz,2
Sub-1 GHz,2
19.7-20.2 GHz,2
3.7-4.2 GHz,2
5925–6425 MHz,2
24 GHz,2
Bajo 1 GHz,2
4.8–4.9 GHz,2
12.2–12.7 GHz,2
39 GHz,2
174–216 MHz,2
38 GHz,2
4800–4990 MHz,2
10.0–10.5 GHz,2
3.7 GHz,2
27.5-28.35 GHz,2
3625–3700 MHz,2
2400–2483.5 MHz,2
5250–5350 MHz,2
2300 MHz,2
Banda C,2
1695–1710 MHz,2
2155–2180 MHz,2
2 GHz band,2
2170–2200 MHz,2
708–718 MHz,2
763–773 MHz,2
440-470 MHz,2
42.5–43.5 GHz,2
3600–3800 MHz,2
3300–3600 MHz,2
3.6–3.8 GHz,2
3.3–3.7 GHz,2
1710–1720 MHz,2
1805–1815 MHz,2
1850–1875 MHz,2
51.4–52.4 GHz,2
3.98–4.2 GHz,2
3.7–3.98 GHz,2
Mid-band spectrum,2
Banda W,2
