codigo_proyecto;nombre_proyecto;objetivo;alcance;descripcion_general;evidencia_disponible;nivel_informacion;fuente_base;observaciones;vigencia
ED01;Actualización y soporte CNABF;Identificar de manera sistemática las divergencias técnicas entre dos ediciones del Reglamento de Radiocomunicaciones de la UIT. Busca mitigar el riesgo de error humano en la revisión manual y armonizar el CNABF con el marco internacional vigente desde el 1 de enero de 2025.;Abarca la adquisición de las versiones oficiales de la UIT, la comparación digital y la depuración algorítmica en Python. Incluye la generación de un reporte ejecutivo analítico mediante IA (LLM) que resalte cambios sustantivos.;Proyecto que compara automáticamente ediciones del Reglamento de Radiocomunicaciones UIT para actualizar el CNABF. Usa Python e IA para generar un reporte ejecutivo de cambios.;"Plan de trabajo; Link GitHub; Presentación";Alta;"plan de trabajo; GitHub; presentación; to do";Vigencia indicada explícitamente como 2026 por el usuario.;2026
ED02;Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos;Definir la hoja de ruta de la estrategia de gestión de datos 2026-2028 de la Subdirección de Gestión y Planeación Técnica del Espectro.;No disponible;Proyecto orientado a definir la hoja de ruta de datos de la SGP 2026-2028. No se entregó información de alcance.;Esta app;Media;revisión manual;Falta alcance y evidencia documental adicional.;2026
ED03;Implementar acciones para ser 20% más eficientes en la ejecución de los procedimientos de radiodifusión;Reducir en 20% los tiempos de ejecución de los procedimientos de radiodifusión mediante modelado de datos, automatización de procesos y herramientas de seguimiento.;No disponible;Proyecto de eficiencia para procedimientos de radiodifusión con meta oficial de reducción de tiempos del 20%.;Documento propuesta radiodifusión;Media;documento propuesta;No se entregó alcance explícito.;2026
ED04;Fase 1. herramienta de análisis automático satelital vs. Fijo;Automatizar el análisis de interferencias entre estaciones del servicio satelital y del servicio fijo, generando archivos .csv para simulación en HTZ. Incluye automatizar validación de datos, clasificación de enlaces por banda y cálculo del contorno de coordinación.;Identificar y automatizar los parámetros para generar los .csv de enlaces MW y ET que se cargan en HTZ. Fuera de alcance: el análisis de previabilidad de interferencias entre enlaces punto a punto y estaciones satelitales.;Herramienta que automatiza la generación de archivos de enlaces satelitales/fijos para simulación de interferencias en HTZ.;"Cronograma de actividades; Levantamiento de requerimientos; Script; Insumos";Alta;"cronograma; levantamiento de requerimientos; script";Es fase 1;2026
ED05;Ajuste herramienta de notificaciones;Generar los ficheros de notificación de adición conforme a especificaciones ITU para enlaces punto a punto y móvil, y parametrizar los de enlaces satelitales.;Desarrollar la generación de ficheros de notificación según formatos ITU para enlaces punto a punto y móvil, e incluir la parametrización para satelitales. Fuera de alcance: un aplicativo con base de datos de enlaces notificados y gestión de modificaciones/supresión.;Herramienta para generar ficheros de notificación ITU de enlaces punto a punto, móviles y satelitales.;"Cronograma de actividades; Levantamiento de requerimientos; Insumos; Script";Alta;"cronograma; levantamiento de requerimientos; script";Sin observaciones.;2026
ED06;Desarrollos para herramienta de previabilidad satelital (Innovae);Desarrollar una plataforma web que automatice la radicación y análisis técnico de solicitudes de autorización de estaciones terrenas, integrando CNABF, ICS Manager, Front Office e IFICs de la UIT.;Diseñar y estructurar una plataforma para radicación estructurada de solicitudes con integración automática a los sistemas mencionados y salida de pre-viabilidad técnica. El alcance cubre la estructuración del proyecto para su desarrollo posterior por TI de ANE o MinTIC.;Levantamiento de requerimientos para una plataforma de radicación y pre-viabilidad de solicitudes satelitales (INNOVAE).;"Documento de requerimientos de software; Modelo de datos";Media;"requerimientos de software; modelo de datos";Sin observaciones.;2026
ED07;Informe de ocupación;Automatizar la generación del Informe Anual de Atención de Solicitudes del Grupo de Ingeniería, mejorando la calidad del dato y reduciendo tiempos de preparación. Busca consolidar Microsoft Lists, Power BI y visuales 2025 en un solo producto.;Incluye levantamiento de requerimientos, diseño de vista gerencial y técnica, definición de métricas y validaciones, y consolidación de iniciativas previas. El prototipo de automatización es opcional en 2026 y está confirmado en la hoja de ruta 2027-2028.;Rediseño del Informe de Ocupación con vista gerencial y técnica, consolidando herramientas existentes de Power BI y Microsoft Lists.;"Informe de ocupación (documento existente); Requerimientos de software";Media;"informe existente; requerimientos de software";"Alcance menciona hoja de ruta 2027-2028; no usar aún para el cruce.";2026
ED08;Asignación IMT (Carga de historial, repositorio de resoluciones, visualización de asignación a lo largo del tiempo);No disponible;No disponible;No disponible;No se encontró información;Nula;no encontrado;Solicitar información mínima del proyecto;2026
ED09;Indicadores de seguimiento;No disponible;No disponible;No disponible;No se encontró información;Nula;no encontrado;Solicitar información mínima del proyecto;2026
ED10;Otros reportes (Reporte semanal atención de solicitudes, consultas de políticos, informe de gestión anual. FURAG, UNGRD…);No disponible;No disponible;No disponible;No se encontró información;Nula;no encontrado;Solicitar información mínima del proyecto;2026
