alignment_id,project_id,source_document,pmge_line,project_name,policy_activity_id,policy_name,policy_activity_name,alignment_level,observation,suggested_action,alignment_score,score_label
PMGE-POL-0001,PMGE-001,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Hoja de Ruta para el Espectro IMT en Colombia: proyecciones de demanda y planificación prospectiva,ACT-016,Política de espectro 2025 - 2028,"Adoptar una hoja de ruta que visibilice la disponibilidad y posible asignación de espectro para servicios móviles (IMT), que se actualizará periódicamente.",Alta,"Coincidencia semántica por IMT 5G bandas, bandas, demanda, disponibilidad.",Articular cronograma y entregables,66.0,Media
PMGE-POL-0002,PMGE-001,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Hoja de Ruta para el Espectro IMT en Colombia: proyecciones de demanda y planificación prospectiva,ACT-060,Política de espectro 2025 - 2028,"Adoptar una hoja de ruta que visibilice la disponibilidad y posible asignación de espectro para servicios móviles (IMT), que se actualizará periódicamente.",Alta,"Coincidencia semántica por IMT 5G bandas, bandas, demanda, disponibilidad.",Articular cronograma y entregables,66.0,Media
PMGE-POL-0003,PMGE-001,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Hoja de Ruta para el Espectro IMT en Colombia: proyecciones de demanda y planificación prospectiva,ACT-036,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, colombia, datos.",Articular cronograma y entregables,63.5,Media
PMGE-POL-0004,PMGE-002,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Evaluación y Propuesta de ajuste de los Topes de Espectro para servicios IMT,ACT-002,Estrategia Nacional Digital 2023 - 2026,"Establecer condiciones reglamentarias diferenciales a nivel local, regional y/o para casos de uso en la asignación de los permisos de uso del espectro radioeléctrico”",Alta,"Coincidencia semántica por Datos IA gobernanza, asignacion, condiciones, datos.",Articular cronograma y entregables,58.0,Media
PMGE-POL-0005,PMGE-002,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Evaluación y Propuesta de ajuste de los Topes de Espectro para servicios IMT,ACT-036,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, datos, espectro.",Articular cronograma y entregables,56.62,Media
PMGE-POL-0006,PMGE-002,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Evaluación y Propuesta de ajuste de los Topes de Espectro para servicios IMT,ACT-080,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Alta,"Coincidencia semántica por Datos IA gobernanza, Internacional, datos, espectro.",Articular cronograma y entregables,56.62,Media
PMGE-POL-0007,PMGE-003,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Propuesta de Mecanismo de Asignación Estándar de Espectro Remanente,ACT-002,Estrategia Nacional Digital 2023 - 2026,"Establecer condiciones reglamentarias diferenciales a nivel local, regional y/o para casos de uso en la asignación de los permisos de uso del espectro radioeléctrico”",Alta,"Coincidencia semántica por Datos IA gobernanza, asignacion, bienestar, datos.",Articular cronograma y entregables,55.8,Media
PMGE-POL-0008,PMGE-003,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Propuesta de Mecanismo de Asignación Estándar de Espectro Remanente,ACT-001,Estrategia Nacional Digital 2023 - 2026,"Asignar el espectro y promover su uso eficiente de forma oportuna, especialmente para la tecnología 5G, a través de esquemas de selección objetiva y condiciones que maximicen el bienestar social y la compartición de este recurso.",Parcial,"Coincidencia semántica por Datos IA gobernanza, IMT 5G bandas, asignacion, bandas.",Articular cronograma y entregables,54.33,Media
PMGE-POL-0009,PMGE-003,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Propuesta de Mecanismo de Asignación Estándar de Espectro Remanente,ACT-019,Política de espectro 2025 - 2028,"Se instalará una mesa de trabajo con entidades públicas que hagan uso de servicios de comunicaciones inalámbricas para sus actividades y que presten servicios públicos como educación, seguridad, transporte, servicios públicos domiciliarios, etc.",Parcial,"Coincidencia semántica por Datos IA gobernanza, comunicaciones, datos, educacion.",Articular cronograma y entregables,53.6,Media
PMGE-POL-0010,PMGE-004,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Propuesta de Mecanismos de Acceso y Valoración Económica del Espectro Radioeléctrico para Redes Privadas,ACT-001,Estrategia Nacional Digital 2023 - 2026,"Asignar el espectro y promover su uso eficiente de forma oportuna, especialmente para la tecnología 5G, a través de esquemas de selección objetiva y condiciones que maximicen el bienestar social y la compartición de este recurso.",Parcial,"Coincidencia semántica por Datos IA gobernanza, IMT 5G bandas, asignacion, bandas.",Articular cronograma y entregables,54.33,Media
PMGE-POL-0011,PMGE-004,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Propuesta de Mecanismos de Acceso y Valoración Económica del Espectro Radioeléctrico para Redes Privadas,ACT-008,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,"MinTIC con apoyo de la ANE y CRC, definirá instrumentos normativos o desarrollará iniciativas que permitan establecer: 
(i) condiciones técnicas de uso de frecuencias; 
(ii) contraprestaciones económicas por uso del espectro radioeléctrico; 
(iii) procedimientos de selección objetiva para otorgar permisos de uso espectro radioeléctrico; y 
(iv) condiciones regulatorias diferenciales de forma que se impulse el desarrollo de aplicaciones de IA para internet de las cosas (IoT) y redes privadas, entre otros.",Parcial,"Coincidencia semántica por Datos IA gobernanza, Redes privadas, condiciones, datos.",Articular cronograma y entregables,40.58,Baja
PMGE-POL-0012,PMGE-004,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Propuesta de Mecanismos de Acceso y Valoración Económica del Espectro Radioeléctrico para Redes Privadas,ACT-002,Estrategia Nacional Digital 2023 - 2026,"Establecer condiciones reglamentarias diferenciales a nivel local, regional y/o para casos de uso en la asignación de los permisos de uso del espectro radioeléctrico”",Parcial,"Coincidencia semántica por Datos IA gobernanza, asignacion, condiciones, datos.",Articular cronograma y entregables,53.6,Media
PMGE-POL-0013,PMGE-005,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Estudio de planificación del espectro en la banda de 440 a 470 MHz (450 MHz),ACT-002,Estrategia Nacional Digital 2023 - 2026,"Establecer condiciones reglamentarias diferenciales a nivel local, regional y/o para casos de uso en la asignación de los permisos de uso del espectro radioeléctrico”",Parcial,"Coincidencia semántica por Datos IA gobernanza, asignacion, condiciones, datos.",Articular cronograma y entregables,53.6,Media
PMGE-POL-0014,PMGE-005,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Estudio de planificación del espectro en la banda de 440 a 470 MHz (450 MHz),ACT-018,Política de espectro 2025 - 2028,Definir la necesidad de contar con estimaciones de demanda para otros servicios de comunicaciones adicionales a los caracterizados con los tres modelos de demanda con que cuenta la ANE.,Parcial,"Coincidencia semántica por comunicaciones, disponibilidad, espectro, necesidad.",Articular cronograma y entregables,51.0,Media
PMGE-POL-0015,PMGE-005,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Estudio de planificación del espectro en la banda de 440 a 470 MHz (450 MHz),ACT-062,Política de espectro 2025 - 2028,Definir la necesidad de contar con estimaciones de demanda para otros servicios de comunicaciones adicionales a los caracterizados con los tres modelos de demanda con que cuenta la ANE.,Parcial,"Coincidencia semántica por comunicaciones, disponibilidad, espectro, necesidad.",Articular cronograma y entregables,51.0,Media
PMGE-POL-0016,PMGE-006,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis del Esquema de Contraprestación Económica aplicable a enlaces fijos Punto a Punto,ACT-045,Plan Estratégico ANE 2025-2028,"OBJETIVOS ESPECIFICOS: 
1.1.	Generar y promover los espacios que faciliten esquemas innovadores para la gestión de espectro.

LINEAS DE ACCION:
1.1.1. Gestión del entorno a nivel nacional e internacional",Parcial,"Coincidencia semántica por Datos IA gobernanza, Internacional, datos, espectro.",Articular cronograma y entregables,54.33,Media
PMGE-POL-0017,PMGE-006,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis del Esquema de Contraprestación Económica aplicable a enlaces fijos Punto a Punto,ACT-089,Plan Estratégico ANE 2025-2028,"OBJETIVOS ESPECIFICOS: 
1.1.	Generar y promover los espacios que faciliten esquemas innovadores para la gestión de espectro.

LINEAS DE ACCION:
1.1.1. Gestión del entorno a nivel nacional e internacional",Parcial,"Coincidencia semántica por Datos IA gobernanza, Internacional, datos, espectro.",Articular cronograma y entregables,54.33,Media
PMGE-POL-0018,PMGE-006,PMGE20262030yAgendaRegulatoriaANEMar2026.pdf,Disponibilidad de espectro,Análisis del Esquema de Contraprestación Económica aplicable a enlaces fijos Punto a Punto,ACT-011,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,"Entre el 2026 y 2027, la ANE diseñará y socializará los modelos prospectivos de uso de espectro por zonas del país para las bandas de frecuencia para el servicio radioeléctrico fijo, móvil y bandas para IMT (Telecomunicaciones Móviles Internacionales por sus siglas en inglés), de acuerdo con la proyección de demanda de capacidad de datos para redes de transporte, incluyendo sistemas de backhaul integrado, entre otros; que habilite el camino para el despliegue de 6G.",Parcial,"Coincidencia semántica por Datos IA gobernanza, Internacional, conectividad, datos.",Articular cronograma y entregables,37.82,Baja
