alignment_id,trend_name,topic_macro,support_documents,support_sources,policy_activity_id,policy_name,policy_activity_name,coverage_status,documentary_evidence,recommendation,opportunity_score,score_label
DOC-POL-0001,Alineación internacional de decisiones sobre espectro,Armonización y gestión internacional,CTSPEU20260015_Legal_basis_for_spectrum_management.pdf | CTSPLN20260040_TV_white_spaces.pdf | FLSPCO20260005_Colombia_to_award_spectrum_in_the_900_MHz_band_to_community_.pdf | FLTEEC20260001_Ecuador_to_update_QoS_rules_and_telecoms_and_spectrum_licens.pdf,Cullen International,ACT-036,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Parcial,"Los documentos muestran referencias a procesos internacionales, posiciones regionales y seguimiento de decisiones de organismos como UIT, CITEL o WRC.",Nota técnica / ajuste a actividad existente,78.71,Alta
DOC-POL-0002,Alineación internacional de decisiones sobre espectro,Armonización y gestión internacional,CTSPEU20260015_Legal_basis_for_spectrum_management.pdf | CTSPLN20260040_TV_white_spaces.pdf | FLSPCO20260005_Colombia_to_award_spectrum_in_the_900_MHz_band_to_community_.pdf | FLTEEC20260001_Ecuador_to_update_QoS_rules_and_telecoms_and_spectrum_licens.pdf,Cullen International,ACT-080,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Parcial,"Los documentos muestran referencias a procesos internacionales, posiciones regionales y seguimiento de decisiones de organismos como UIT, CITEL o WRC.",Nota técnica / ajuste a actividad existente,78.71,Alta
DOC-POL-0003,Alineación internacional de decisiones sobre espectro,Armonización y gestión internacional,CTSPEU20260015_Legal_basis_for_spectrum_management.pdf | CTSPLN20260040_TV_white_spaces.pdf | FLSPCO20260005_Colombia_to_award_spectrum_in_the_900_MHz_band_to_community_.pdf | FLTEEC20260001_Ecuador_to_update_QoS_rules_and_telecoms_and_spectrum_licens.pdf,Cullen International,ACT-033,Política de espectro 2025 - 2028,Formulación e implementación de una Estrategia de gestión internacional espectro que tenga en consideración las prioridades y objetivos de la gestión de espectro para Colombia.,Parcial,"Los documentos muestran referencias a procesos internacionales, posiciones regionales y seguimiento de decisiones de organismos como UIT, CITEL o WRC.",Nota técnica / ajuste a actividad existente,79.0,Alta
DOC-POL-0004,Uso flexible y compartido del espectro,Spectrum sharing y mecanismos flexibles,FLSPSE20250001_Swedish_regulator_publishes_final_documentation_for_the_spec.pdf,Cullen International,ACT-021,Política de espectro 2025 - 2028,"Se implementará un observatorio de mecanismos flexibles de acceso y uso del espectro en el cual se haga seguimiento a mejores prácticas observadas en otros países, así como a casos prácticos de implementación",Parcial,"Se observan discusiones sobre licenciamiento local, uso secundario, compartición dinámica, bases de datos de coordinación y esquemas de acceso diferenciado.",Seguimiento,68.67,Media
DOC-POL-0005,Uso flexible y compartido del espectro,Spectrum sharing y mecanismos flexibles,FLSPSE20250001_Swedish_regulator_publishes_final_documentation_for_the_spec.pdf,Cullen International,ACT-065,Política de espectro 2025 - 2028,"Se implementará un observatorio de mecanismos flexibles de acceso y uso del espectro en el cual se haga seguimiento a mejores prácticas observadas en otros países, así como a casos prácticos de implementación",Parcial,"Se observan discusiones sobre licenciamiento local, uso secundario, compartición dinámica, bases de datos de coordinación y esquemas de acceso diferenciado.",Seguimiento,68.67,Media
DOC-POL-0006,Uso flexible y compartido del espectro,Spectrum sharing y mecanismos flexibles,FLSPSE20250001_Swedish_regulator_publishes_final_documentation_for_the_spec.pdf,Cullen International,ACT-048,Plan Estratégico ANE 2025-2029,"OBJETIVOS ESPECIFICOS: 
1.2. Desarrollar una cultura institucional de innovación

LINEAS DE ACCION:
1.2.2. Adopción de procesos flexibles que faciliten la innovación",Parcial,"Se observan discusiones sobre licenciamiento local, uso secundario, compartición dinámica, bases de datos de coordinación y esquemas de acceso diferenciado.",Seguimiento,69.86,Media
DOC-POL-0007,Mayor presión por disponibilidad de espectro para 5G y 5G-Advanced,Disponibilidad de espectro para IMT,B5TELN20250004_LATAM_Telecoms_Update (1).pdf | B5TELN20260001_LATAM_Telecoms_Update (3).pdf | B5TELN20260001_LATAM_Telecoms_Update (4).pdf | B5TELN20260001_LATAM_Telecoms_Update (6).pdf | B5TELN20260001_LATAM_Telecoms_Update.pdf | CTSPEU20250041_Spectrum_policy_documents_and_national_5G_targets.pdf | CTSPEU20260002_Licensing_in_the_traditional_mobile_bands.pdf | CTSPEU20260004_Regulation_of_the_23_GHz_band.pdf,Cullen International | GSMA,ACT-011,Política Nacional de Inteligencia Artificial (IA) – CONPES 4144,"Entre el 2026 y 2027, la ANE diseñará y socializará los modelos prospectivos de uso de espectro por zonas del país para las bandas de frecuencia para el servicio radioeléctrico fijo, móvil y bandas para IMT (Telecomunicaciones Móviles Internacionales por sus siglas en inglés), de acuerdo con la proyección de demanda de capacidad de datos para redes de transporte, incluyendo sistemas de backhaul integrado, entre otros; que habilite el camino para el despliegue de 6G.",Parcial,"Los documentos muestran interés en procesos de asignación, reorganización de bandas, condiciones técnicas y modelos de uso eficiente del espectro móvil.",Nota técnica / ajuste a actividad existente,86.83,Alta
DOC-POL-0008,Mayor presión por disponibilidad de espectro para 5G y 5G-Advanced,Disponibilidad de espectro para IMT,B5TELN20250004_LATAM_Telecoms_Update (1).pdf | B5TELN20260001_LATAM_Telecoms_Update (3).pdf | B5TELN20260001_LATAM_Telecoms_Update (4).pdf | B5TELN20260001_LATAM_Telecoms_Update (6).pdf | B5TELN20260001_LATAM_Telecoms_Update.pdf | CTSPEU20250041_Spectrum_policy_documents_and_national_5G_targets.pdf | CTSPEU20260002_Licensing_in_the_traditional_mobile_bands.pdf | CTSPEU20260004_Regulation_of_the_23_GHz_band.pdf,Cullen International | GSMA,ACT-002,Estrategia Nacional Digital 2023 - 2026,"Establecer condiciones reglamentarias diferenciales a nivel local, regional y/o para casos de uso en la asignación de los permisos de uso del espectro radioeléctrico”",Parcial,"Los documentos muestran interés en procesos de asignación, reorganización de bandas, condiciones técnicas y modelos de uso eficiente del espectro móvil.",Nota técnica / ajuste a actividad existente,86.91,Alta
DOC-POL-0009,Mayor presión por disponibilidad de espectro para 5G y 5G-Advanced,Disponibilidad de espectro para IMT,B5TELN20250004_LATAM_Telecoms_Update (1).pdf | B5TELN20260001_LATAM_Telecoms_Update (3).pdf | B5TELN20260001_LATAM_Telecoms_Update (4).pdf | B5TELN20260001_LATAM_Telecoms_Update (6).pdf | B5TELN20260001_LATAM_Telecoms_Update.pdf | CTSPEU20250041_Spectrum_policy_documents_and_national_5G_targets.pdf | CTSPEU20260002_Licensing_in_the_traditional_mobile_bands.pdf | CTSPEU20260004_Regulation_of_the_23_GHz_band.pdf,Cullen International | GSMA,ACT-016,Política de espectro 2025 - 2028,"Adoptar una hoja de ruta que visibilice la disponibilidad y posible asignación de espectro para servicios móviles (IMT), que se actualizará periódicamente.",Parcial,"Los documentos muestran interés en procesos de asignación, reorganización de bandas, condiciones técnicas y modelos de uso eficiente del espectro móvil.",Nota técnica / ajuste a actividad existente,87.23,Alta
DOC-POL-0010,Competencia regulatoria por la banda 6 GHz,"6 GHz, Wi-Fi e IMT",B5TELN20260001_LATAM_Telecoms_Update (1).pdf | FLSPCO20260003_Colombia_consults_on_a_faster_process_to_set_spectrum_caps_a.pdf | FLSPDE20250001_Germany_extends_mobile_licences_imposing_strict_coverage_obl.pdf | FLSPPY20250004_Paraguay_opens_lower_part_of_the_6GHz_band_for_Wi-Fi.pdf | FLSPSK20250002_Slovakia_awards_spectrum_in_five_bands_until_2048.pdf | FLTEEP20260031_DNA_European_Commission_calls_for_change_also_on_access_regu.pdf,Cullen International,ACT-036,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Parcial,"Los documentos revisados muestran discusiones sobre si esta banda debe mantenerse para uso no licenciado, abrirse a servicios móviles o gestionarse mediante modelos híbridos.",Nota técnica / ajuste a actividad existente,83.24,Alta
DOC-POL-0011,Competencia regulatoria por la banda 6 GHz,"6 GHz, Wi-Fi e IMT",B5TELN20260001_LATAM_Telecoms_Update (1).pdf | FLSPCO20260003_Colombia_consults_on_a_faster_process_to_set_spectrum_caps_a.pdf | FLSPDE20250001_Germany_extends_mobile_licences_imposing_strict_coverage_obl.pdf | FLSPPY20250004_Paraguay_opens_lower_part_of_the_6GHz_band_for_Wi-Fi.pdf | FLSPSK20250002_Slovakia_awards_spectrum_in_five_bands_until_2048.pdf | FLTEEP20260031_DNA_European_Commission_calls_for_change_also_on_access_regu.pdf,Cullen International,ACT-080,Política de espectro 2025 - 2028,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,Parcial,"Los documentos revisados muestran discusiones sobre si esta banda debe mantenerse para uso no licenciado, abrirse a servicios móviles o gestionarse mediante modelos híbridos.",Nota técnica / ajuste a actividad existente,83.24,Alta
DOC-POL-0012,Competencia regulatoria por la banda 6 GHz,"6 GHz, Wi-Fi e IMT",B5TELN20260001_LATAM_Telecoms_Update (1).pdf | FLSPCO20260003_Colombia_consults_on_a_faster_process_to_set_spectrum_caps_a.pdf | FLSPDE20250001_Germany_extends_mobile_licences_imposing_strict_coverage_obl.pdf | FLSPPY20250004_Paraguay_opens_lower_part_of_the_6GHz_band_for_Wi-Fi.pdf | FLSPSK20250002_Slovakia_awards_spectrum_in_five_bands_until_2048.pdf | FLTEEP20260031_DNA_European_Commission_calls_for_change_also_on_access_regu.pdf,Cullen International,ACT-016,Política de espectro 2025 - 2028,"Adoptar una hoja de ruta que visibilice la disponibilidad y posible asignación de espectro para servicios móviles (IMT), que se actualizará periódicamente.",Parcial,"Los documentos revisados muestran discusiones sobre si esta banda debe mantenerse para uso no licenciado, abrirse a servicios móviles o gestionarse mediante modelos híbridos.",Nota técnica / ajuste a actividad existente,83.81,Alta
