codigo_proyecto,nombre_proyecto,id_actividad,linea_hoja_ruta,actividad,estado_relacion,justificacion
ED01,Actualización y soporte CNABF,A01,"Arquitectura, integración y almacenamiento de datos",Actualizar diagnóstico de la arquitectura de datos.,No cubre,"El proyecto actualiza un reglamento específico, no la arquitectura de datos general."
ED01,Actualización y soporte CNABF,A02,"Arquitectura, integración y almacenamiento de datos",Documentar el inventario de fuentes de información.,No cubre,"El proyecto se centra en la actualización de un reglamento, no en el inventario de fuentes de información."
ED01,Actualización y soporte CNABF,A03,"Arquitectura, integración y almacenamiento de datos",Flujograma de la integración de datos,No cubre,El proyecto actualiza un reglamento y no aborda flujogramas de integración de datos.
ED01,Actualización y soporte CNABF,A04,"Arquitectura, integración y almacenamiento de datos","Establecer interoperabilidad progresiva: APIs, flujos de integración con HORUS, ICC Manager, SGE y si es posible técnicamente con HECAa.",No cubre,El proyecto no aborda la interoperabilidad ni la integración con los sistemas mencionados.
ED01,Actualización y soporte CNABF,A05,"Arquitectura, integración y almacenamiento de datos","Implementar un repositorio maestro que integre CNABF, SGE, ICC Manager, HORUS).",Cubre parcialmente,"El proyecto actualiza el CNABF, que es un componente clave para el repositorio maestro."
ED01,Actualización y soporte CNABF,A06,"Arquitectura, integración y almacenamiento de datos",Migrar hacia un data warehouse institucional (Azure/Microsoft 365).,No cubre,"El proyecto se enfoca en la comparación de documentos técnicos, no en la migración a un data warehouse."
ED01,Actualización y soporte CNABF,A07,Gobernanza de datos,"Crear el comité de la Estrategia de Gestión de datos (Dirección y áreas, incluyendo TI), que tendrá la responsabilidad de definir la política de gobernanza y calidad de datos y su ejecución.",No cubre,"El proyecto es técnico de comparación de regulaciones, no sobre la creación de un comité de gobernanza de datos."
ED01,Actualización y soporte CNABF,A08,Gobernanza de datos,"Definir roles básicos (data owners y stewards) particularmente para los procesos más críticos, como, por ejemplo, el trámite de solicitudes de espectro.",No cubre,"El proyecto es técnico de comparación de regulaciones, no sobre la definición de roles de datos."
ED01,Actualización y soporte CNABF,A09,Gobernanza de datos,Socializar lineamientos mínimos de seguridad y acceso.,No cubre,"El proyecto es técnico de comparación de regulaciones, no sobre lineamientos de seguridad y acceso."
ED01,Actualización y soporte CNABF,A10,Gobernanza de datos,Estandarizar plantillas y procesos en Excel/SharePoint.,No cubre,"El proyecto es técnico de comparación de regulaciones, no sobre estandarización de plantillas."
ED01,Actualización y soporte CNABF,A11,Gobernanza de datos,Fortalecer controles unificados de seguridad y auditoría de accesos.,No cubre,"El proyecto se enfoca en la comparación de reglamentos, no en la seguridad de accesos."
ED01,Actualización y soporte CNABF,A12,Gobernanza de datos,Formalizar políticas de gestión documental con clasificación y versionamiento en SharePoint.,No cubre,"El proyecto se enfoca en la comparación de reglamentos, no en la gestión documental en SharePoint."
ED01,Actualización y soporte CNABF,A13,Gobernanza de datos,Implementar programa institucional de gobernanza de datos.,No cubre,"El proyecto es una actualización técnica específica, no un programa institucional de gobernanza de datos."
ED01,Actualización y soporte CNABF,A14,Gobernanza de datos,Establecer catálogo institucional de metadatos y glosario unificado.,No cubre,"El proyecto se enfoca en la comparación de reglamentos, no en el establecimiento de metadatos o glosarios."
ED01,Actualización y soporte CNABF,A15,Gobernanza de datos,Evaluar la posibilidad de interoperabilidad de la gestión documental con el Ministerio de TIC.,No cubre,"El proyecto se enfoca en la comparación de reglamentos, no en la interoperabilidad documental."
ED01,Actualización y soporte CNABF,A16,Gobernanza de datos,Desplegar un sistema integral de ciberseguridad para datos y aplicaciones críticas.,No cubre,"El proyecto se enfoca en la actualización regulatoria del CNABF, no en ciberseguridad."
ED01,Actualización y soporte CNABF,A17,Analítica de datos,"Tablero de PQR: Consolidado con los aspectos más relevantes en el tratamiento de PQRs, tanto de solicitudes de espectro como de PQR generales",No cubre,"El proyecto se enfoca en la actualización regulatoria del CNABF, no en tableros de PQR."
ED01,Actualización y soporte CNABF,A18,Analítica de datos,Dashboard en Power BI para indicadores IMT: Desarrollar un tablero de control integral para el seguimiento de indicadores económicos del sector de telecomunicaciones (HECAa).,No cubre,"El proyecto se enfoca en la actualización regulatoria del CNABF, no en indicadores IMT."
ED01,Actualización y soporte CNABF,A19,Analítica de datos,Seguimiento de Tiempos SGP y Entidades Externas. aplica para de forma transversal entre las 4 coordinaciones.,No cubre,"El proyecto se enfoca en la actualización regulatoria del CNABF, no en seguimiento de tiempos."
ED01,Actualización y soporte CNABF,A20,Analítica de datos,Visualización de Contactos,No cubre,"El proyecto se enfoca en la actualización regulatoria del CNABF, no en visualización de contactos."
ED01,Actualización y soporte CNABF,A21,Analítica de datos,Tablero Automatizado de Análisis Espectral: análisis de asignación espectral que centralice la información del SGE,No cubre,"El proyecto actualiza un reglamento, no desarrolla un tablero de análisis espectral."
ED01,Actualización y soporte CNABF,A22,Analítica de datos,"Implementar analítica avanzada (IA, ML) aplicada a la gestión del espectro.",Cubre parcialmente,El proyecto usa IA para generar un reporte analítico de cambios en el CNABF.
ED01,Actualización y soporte CNABF,A23,Analítica de datos,Definir líneas de innovación en gestión del espectro con big data e IA.,No cubre,"El proyecto aplica IA, pero no define líneas de innovación estratégicas en gestión del espectro."
ED01,Actualización y soporte CNABF,A24,Optimización,Automatizar completamente la atención de solicitudes de espectro con trazabilidad en línea.,No cubre,"El proyecto se enfoca en la actualización de un reglamento, no en la atención de solicitudes de espectro."
ED01,Actualización y soporte CNABF,A25,Optimización,"Automatizar procesos operativos críticos con Power Automate y Power Apps. Migrar procesos manuales (ej. carga de archivos F1/F3, seguimiento solicitudes, consultas CNABF/SGE) a flujos en Power Automate o scripts estandarizados.",No cubre,"El proyecto usa Python e IA para comparación de documentos, no Power Automate/Apps para procesos operativos."
ED01,Actualización y soporte CNABF,A26,Cultura organizacional en torno a la gestión de datos,Socialización y divulgación de acciones (a realizarse en 2024),No cubre,El proyecto se enfoca en la actualización técnica del CNABF y no en la socialización de acciones.
ED01,Actualización y soporte CNABF,A27,Cultura organizacional en torno a la gestión de datos,"Elaborar manuales de usuario y documentar rutinas críticas (Python, Power BI, procesos manuales).",Cubre parcialmente,"El proyecto implica desarrollo en Python, lo que podría generar rutinas críticas que requerirían documentación."
ED01,Actualización y soporte CNABF,A28,Cultura organizacional en torno a la gestión de datos,Realizar talleres de sensibilización en gestión de datos.,No cubre,El proyecto es técnico y no incluye talleres de sensibilización en gestión de datos.
ED01,Actualización y soporte CNABF,A29,Cultura organizacional en torno a la gestión de datos,"Programa de capacitación continua en Microsoft 365 y gestión de datos: Esto incluye entre otros, Power BI, Power Automate, SharePoint.",No cubre,El proyecto se centra en la actualización del CNABF y no en programas de capacitación en Microsoft 365 o gestión de datos.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A01,"Arquitectura, integración y almacenamiento de datos",Actualizar diagnóstico de la arquitectura de datos.,Cubre parcialmente,La definición de una estrategia de datos implica la revisión o diagnóstico de la arquitectura de datos.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A02,"Arquitectura, integración y almacenamiento de datos",Documentar el inventario de fuentes de información.,Cubre parcialmente,La estrategia de datos de la subdirección requerirá la identificación de fuentes de información.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A03,"Arquitectura, integración y almacenamiento de datos",Flujograma de la integración de datos,Cubre parcialmente,La estrategia de datos puede contemplar la definición de flujos de integración de datos.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A04,"Arquitectura, integración y almacenamiento de datos","Establecer interoperabilidad progresiva: APIs, flujos de integración con HORUS, ICC Manager, SGE y si es posible técnicamente con HECAa.",Cubre parcialmente,La estrategia de datos puede establecer directrices para la interoperabilidad y la integración de sistemas.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A05,"Arquitectura, integración y almacenamiento de datos","Implementar un repositorio maestro que integre CNABF, SGE, ICC Manager, HORUS).",Cubre parcialmente,La estrategia de datos puede definir la necesidad de implementar un repositorio maestro.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A06,"Arquitectura, integración y almacenamiento de datos",Migrar hacia un data warehouse institucional (Azure/Microsoft 365).,Cubre parcialmente,La definición de una hoja de ruta de estrategia de datos podría incluir la migración a un data warehouse.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A07,Gobernanza de datos,"Crear el comité de la Estrategia de Gestión de datos (Dirección y áreas, incluyendo TI), que tendrá la responsabilidad de definir la política de gobernanza y calidad de datos y su ejecución.",Cubre parcialmente,La definición de una hoja de ruta de estrategia de datos es un paso previo o complementario a la creación de un comité de gobernanza.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A08,Gobernanza de datos,"Definir roles básicos (data owners y stewards) particularmente para los procesos más críticos, como, por ejemplo, el trámite de solicitudes de espectro.",Cubre parcialmente,La definición de una hoja de ruta de estrategia de datos podría sentar las bases para definir roles de datos.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A09,Gobernanza de datos,Socializar lineamientos mínimos de seguridad y acceso.,Cubre parcialmente,La definición de una hoja de ruta de estrategia de datos podría incluir lineamientos de seguridad y acceso.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A10,Gobernanza de datos,Estandarizar plantillas y procesos en Excel/SharePoint.,Cubre parcialmente,La definición de una hoja de ruta de estrategia de datos podría incluir la estandarización de plantillas.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A11,Gobernanza de datos,Fortalecer controles unificados de seguridad y auditoría de accesos.,No cubre,"El proyecto define una hoja de ruta de datos, no implementa controles de seguridad de accesos."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A12,Gobernanza de datos,Formalizar políticas de gestión documental con clasificación y versionamiento en SharePoint.,Cubre parcialmente,"La estrategia de gestión de datos podría incluir políticas documentales, pero no se enfoca específicamente en SharePoint."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A13,Gobernanza de datos,Implementar programa institucional de gobernanza de datos.,Cubre,La definición de una hoja de ruta de estrategia de gestión de datos es un paso fundamental para un programa de gobernanza de datos.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A14,Gobernanza de datos,Establecer catálogo institucional de metadatos y glosario unificado.,Cubre parcialmente,"Una estrategia de datos podría contemplar un catálogo de metadatos, pero no es el objetivo principal del proyecto."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A15,Gobernanza de datos,Evaluar la posibilidad de interoperabilidad de la gestión documental con el Ministerio de TIC.,No cubre,"El proyecto define una hoja de ruta de datos, no evalúa la interoperabilidad documental con MinTIC."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A16,Gobernanza de datos,Desplegar un sistema integral de ciberseguridad para datos y aplicaciones críticas.,No cubre,"El proyecto define una hoja de ruta de estrategia de datos, no implementa ciberseguridad."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A17,Analítica de datos,"Tablero de PQR: Consolidado con los aspectos más relevantes en el tratamiento de PQRs, tanto de solicitudes de espectro como de PQR generales",No cubre,"El proyecto define una hoja de ruta de estrategia de datos, no en tableros de PQR."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A18,Analítica de datos,Dashboard en Power BI para indicadores IMT: Desarrollar un tablero de control integral para el seguimiento de indicadores económicos del sector de telecomunicaciones (HECAa).,No cubre,"El proyecto define una hoja de ruta de estrategia de datos, no en indicadores IMT."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A19,Analítica de datos,Seguimiento de Tiempos SGP y Entidades Externas. aplica para de forma transversal entre las 4 coordinaciones.,No cubre,"El proyecto define una hoja de ruta de estrategia de datos, no en seguimiento de tiempos."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A20,Analítica de datos,Visualización de Contactos,No cubre,"El proyecto define una hoja de ruta de estrategia de datos, no en visualización de contactos."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A21,Analítica de datos,Tablero Automatizado de Análisis Espectral: análisis de asignación espectral que centralice la información del SGE,No cubre,"El proyecto define una estrategia de datos, no un tablero específico de análisis espectral."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A22,Analítica de datos,"Implementar analítica avanzada (IA, ML) aplicada a la gestión del espectro.",Cubre parcialmente,La definición de una estrategia de datos es un paso fundamental para la implementación de analítica avanzada.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A23,Analítica de datos,Definir líneas de innovación en gestión del espectro con big data e IA.,Cubre,"El proyecto define una hoja de ruta de estrategia de gestión de datos, relevante para la innovación con big data e IA."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A24,Optimización,Automatizar completamente la atención de solicitudes de espectro con trazabilidad en línea.,No cubre,"El proyecto es estratégico sobre datos, no sobre la automatización de la atención de solicitudes."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A25,Optimización,"Automatizar procesos operativos críticos con Power Automate y Power Apps. Migrar procesos manuales (ej. carga de archivos F1/F3, seguimiento solicitudes, consultas CNABF/SGE) a flujos en Power Automate o scripts estandarizados.",No cubre,"El proyecto es estratégico sobre datos, no sobre la automatización de procesos operativos específicos."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A26,Cultura organizacional en torno a la gestión de datos,Socialización y divulgación de acciones (a realizarse en 2024),Cubre parcialmente,La definición de una hoja de ruta de datos podría implicar la socialización de sus acciones y resultados.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A27,Cultura organizacional en torno a la gestión de datos,"Elaborar manuales de usuario y documentar rutinas críticas (Python, Power BI, procesos manuales).",No cubre,"El proyecto se enfoca en la definición de una hoja de ruta, no en la elaboración de manuales o documentación de rutinas."
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A28,Cultura organizacional en torno a la gestión de datos,Realizar talleres de sensibilización en gestión de datos.,Cubre parcialmente,La definición de una estrategia de datos podría requerir o conducir a talleres de sensibilización en gestión de datos.
ED02,Implementación de hoja de ruta de estrategia de datos de la subdirección y transferencia de conocimientos,A29,Cultura organizacional en torno a la gestión de datos,"Programa de capacitación continua en Microsoft 365 y gestión de datos: Esto incluye entre otros, Power BI, Power Automate, SharePoint.",Cubre parcialmente,La definición de una estrategia de datos podría incluir la identificación de necesidades de capacitación en gestión de datos.
ED03,Implementar acciones para ser 20% más eficientes en la ejecución de los procedimientos de radiodifusión,A01,"Arquitectura, integración y almacenamiento de datos",Actualizar diagnóstico de la arquitectura de datos.,No cubre,"El proyecto se centra en la eficiencia de procedimientos, no en el diagnóstico de la arquitectura de datos."
ED03,Implementar acciones para ser 20% más eficientes en la ejecución de los procedimientos de radiodifusión,A02,"Arquitectura, integración y almacenamiento de datos",Documentar el inventario de fuentes de información.,No cubre,El proyecto busca eficiencia en procedimientos y no documenta fuentes de información.
ED03,Implementar acciones para ser 20% más eficientes en la ejecución de los procedimientos de radiodifusión,A03,"Arquitectura, integración y almacenamiento de datos",Flujograma de la integración de datos,Cubre parcialmente,El modelado de datos para la eficiencia de procesos puede requerir flujogramas de integración.
