tema_macro,subtema,debate_regulatorio,implicacion_regulatoria,tipo_insumo_agenda,relevancia_label,relevancia_score_promedio,num_documentos,num_senales
"Conectividad satelital, NTN y D2D",Conectividad directa a dispositivos,Integración de servicios satelitales con redes móviles y conectividad directa a dispositivos.,"Analizar condiciones de autorización, interferencia, coordinación internacional y compatibilidad con atribuciones actuales.",Nota técnica,Alta,9.58,97,95
Disponibilidad de espectro para IMT,Bandas bajas para cobertura IMT,"Disponibilidad de espectro para cobertura, capacidad y evolución hacia 5G/5G-Advanced.","Priorizar análisis de disponibilidad, necesidades futuras de espectro y condiciones de armonización.",Ajuste a iniciativa existente,Alta,10.0,66,66
Disponibilidad de espectro para IMT,"Bandas bajas, medias y altas para IMT","Disponibilidad de espectro para cobertura, capacidad y evolución hacia 5G/5G-Advanced.","Priorizar análisis de disponibilidad, necesidades futuras de espectro y condiciones de armonización.",Ajuste a iniciativa existente,Alta,9.82,17,17
Disponibilidad de espectro para IMT,Bandas medias para capacidad IMT,"Disponibilidad de espectro para cobertura, capacidad y evolución hacia 5G/5G-Advanced.","Priorizar análisis de disponibilidad, necesidades futuras de espectro y condiciones de armonización.",Ajuste a iniciativa existente,Alta,10.0,14,12
Otros temas de seguimiento,Seguimiento general,Tema identificado en el corpus que requiere seguimiento técnico adicional.,"Evaluar pertinencia para la Agenda ANE según recurrencia, fuente y relevancia.",Seguimiento,Alta,9.31,13,13
"6 GHz, Wi-Fi e IMT",Upper 6 GHz / Wi-Fi / IMT,"Definición del uso de la banda 6 GHz entre Wi-Fi, IMT o esquemas compartidos.","Seguimiento técnico sobre coexistencia, armonización internacional y posibles escenarios de decisión regulatoria.",Seguimiento,Alta,9.83,6,6
Armonización y gestión internacional,Seguimiento internacional UIT/CITEL/WRC,"Seguimiento de decisiones internacionales que afectan atribuciones, bandas, límites técnicos y prioridades regionales.",Alinear posiciones nacionales con tendencias internacionales y preparar insumos para agenda regulatoria.,Seguimiento,Alta,10.0,4,4
Spectrum sharing y mecanismos flexibles,Compartición dinámica del espectro,"Uso de modelos flexibles o compartidos de acceso al espectro, incluyendo bases de datos, licencias locales o uso secundario.","Explorar pilotos regulatorios, reglas de coexistencia y mecanismos de autorización más flexibles.",Nueva iniciativa,Alta,10.0,1,1
Otros temas de seguimiento,Seguimiento general,Tema identificado en el corpus que requiere seguimiento técnico adicional.,"Evaluar pertinencia para la Agenda ANE según recurrencia, fuente y relevancia.",No prioritario,Media,5.0,1,1
Otros temas de seguimiento,Seguimiento general,Tema identificado en el corpus que requiere seguimiento técnico adicional.,"Evaluar pertinencia para la Agenda ANE según recurrencia, fuente y relevancia.",Seguimiento,Baja,3.0,1,1
